"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5"
"215",1556,3,2,4,NA,1,5,1,1,3,3
"216",1557,3,2,4,NA,2,4,3,3,4,4
"217",1558,3,2,4,NA,1,5,4,3,4,4
"218",1559,3,2,1,NA,0,5,5,5,5,5
"219",1560,3,2,4,NA,2,5,5,1,4,2
"220",1561,3,2,4,NA,2,5,4,2,5,2
"221",1562,3,2,4,NA,1,5,4,5,5,5
"222",1563,3,2,4,NA,1,5,3,3,4,5
"223",1564,3,2,4,NA,1,4,3,1,4,5
"224",1565,3,2,4,NA,4,5,4,3,4,4
"225",1566,3,2,4,NA,0,5,5,5,5,3
"226",1567,3,2,4,NA,1,5,5,1,5,4
"227",1568,3,2,4,NA,1,5,1,1,4,5
"228",1569,3,2,4,NA,2,5,1,2,2,2
"229",1570,3,2,4,NA,2,5,3,4,5,4
"230",1571,3,2,4,NA,NA,5,5,5,5,4
"231",1572,3,2,4,NA,1,5,5,5,5,5
"232",1573,3,2,4,NA,4,5,1,3,5,2
"233",1574,3,2,4,NA,1,5,5,5,5,5
"234",1575,3,2,1,NA,2,4,1,1,1,5
"235",1576,3,2,4,NA,1,3,1,3,5,5
"236",1577,3,2,4,NA,2,5,4,4,4,4
"237",1578,3,2,4,NA,2,5,5,3,4,3
"238",1579,3,2,4,NA,0,4,4,4,4,4
"239",1580,3,2,4,NA,1,5,4,3,5,5
"240",1581,3,2,4,NA,0,5,1,1,2,3
"241",1582,3,2,4,NA,1,5,3,2,5,5
"242",1583,3,2,2,NA,1,5,1,5,4,4
"243",1584,3,2,4,NA,1,4,3,1,5,5
"244",1585,3,2,4,NA,0,5,5,4,5,3
"245",1586,3,2,4,NA,1,4,4,3,4,4
"246",1587,3,2,4,NA,1,5,1,1,1,1
"247",1588,3,2,4,NA,1,5,4,4,5,5
"248",1589,3,2,4,NA,1,5,2,4,4,5
"249",1590,3,2,4,NA,2,5,4,3,5,5
"250",1591,3,2,4,NA,3,5,1,1,5,5
"251",1592,3,2,1,NA,3,5,5,5,5,5
"252",1593,3,2,4,NA,1,5,1,1,3,4
"253",1594,3,2,4,NA,2,5,2,3,5,3
"254",1595,3,2,4,NA,3,4,1,3,3,1
"255",1596,3,2,4,NA,1,5,3,3,5,4
"256",1597,3,2,4,NA,1,5,5,4,5,5
"257",1598,3,2,4,NA,0,5,5,5,5,5
"258",1599,3,2,4,NA,1,5,5,5,5,4
"259",1600,3,2,4,NA,1,4,1,1,4,3
"260",1601,3,2,4,NA,1,5,1,1,5,4
"261",1602,3,2,4,NA,1,5,4,4,5,3
"262",1603,3,2,2,NA,1,4,4,4,5,5
"263",1604,3,2,2,NA,0,5,2,2,4,5
"264",1605,3,2,1,NA,1,5,4,4,4,4
"265",1606,3,2,4,NA,0,5,1,4,5,5
"266",1607,3,2,4,NA,1,5,1,3,4,5
"267",1608,3,2,2,NA,1,5,5,5,5,5
"268",1609,3,2,4,NA,3,3,1,1,1,5
"269",1610,3,2,4,NA,2,5,5,5,5,4
"270",1611,3,2,4,NA,1,5,3,2,3,5
"271",1612,3,2,4,NA,0,5,1,5,5,2
"272",1613,3,2,4,NA,0,5,2,2,3,2
"273",1614,3,2,4,NA,2,5,2,1,5,5
"274",1615,3,2,4,NA,1,5,1,2,5,5
"275",1616,3,2,4,NA,1,5,1,3,5,5
"276",1617,3,2,4,NA,1,5,1,2,5,4
"277",1618,3,2,4,NA,1,5,2,2,5,3
"278",1619,3,2,1,NA,0,5,1,5,5,4
"279",1620,3,2,4,NA,1,5,3,3,5,4
"280",1621,3,2,4,NA,0,5,5,1,5,5
"281",1622,3,2,4,NA,0,4,98,4,4,5
"282",1623,3,2,4,NA,1,5,3,3,4,5
"283",1624,3,2,4,NA,1,4,4,3,4,4
"284",1625,3,2,4,NA,1,5,1,1,5,3
"285",1626,3,2,4,NA,2,5,3,4,98,2
"286",1627,3,2,4,NA,3,5,2,2,4,4
"287",1628,3,2,4,NA,3,5,5,4,5,5
"288",1629,3,2,1,NA,1,4,4,4,3,5
"289",1630,3,2,4,NA,NA,5,5,5,5,5
"290",1631,3,2,2,NA,1,4,3,3,4,5
"291",1632,3,2,1,NA,1,5,5,5,5,3
"292",1633,3,2,1,NA,1,3,3,3,3,5
"293",1634,3,2,4,NA,3,5,4,3,5,5
"294",1635,3,2,4,NA,1,4,4,4,4,4
"295",1636,3,2,4,NA,1,5,5,4,5,5
"296",1637,3,2,1,NA,0,5,1,4,4,4
"297",1638,3,2,4,NA,0,5,1,1,4,98
"298",1639,3,2,4,NA,1,5,5,5,5,4
"299",1640,3,2,4,NA,1,5,2,5,5,4
"300",1641,3,2,1,NA,3,5,5,5,3,3
"301",1642,3,2,4,NA,1,3,1,1,4,5
"302",1643,3,2,4,NA,1,5,5,5,5,5
"303",1644,3,2,4,NA,1,5,5,5,5,5
"304",1645,3,2,4,NA,1,5,4,4,5,5
"305",1646,3,2,4,NA,1,5,5,1,5,4
"306",1647,3,2,1,NA,0,4,5,3,3,5
"307",1648,3,2,3,NA,0,5,4,4,4,4
"308",1649,3,2,4,NA,0,5,4,3,5,4
"309",1650,3,2,3,NA,3,5,3,1,4,5
"310",1651,3,2,4,NA,0,4,4,4,4,4
"311",1652,3,2,2,NA,1,4,3,4,4,4
"312",1653,3,2,3,NA,1,5,4,4,5,4
"313",1654,3,2,4,NA,3,4,3,3,4,2
"314",1655,3,2,1,NA,1,4,1,3,3,2
"315",1656,3,2,4,NA,2,4,4,4,4,4
"316",1657,3,2,4,NA,1,5,5,5,5,1
"317",1658,3,2,4,NA,9,5,5,1,5,1
"318",1659,3,2,4,NA,0,5,4,4,5,4
"319",1660,3,2,4,NA,1,4,4,4,4,4
"320",1661,3,2,4,NA,0,5,98,5,5,5
"321",1662,3,2,4,NA,1,5,1,1,5,4
"322",1663,3,2,4,NA,0,5,5,4,5,4
"323",1664,3,2,4,NA,1,5,98,2,5,4
"324",1665,3,2,4,NA,1,4,3,3,4,5
"325",1666,3,2,4,NA,1,5,5,4,5,5
"326",1667,3,2,2,NA,1,5,2,4,4,4
"327",1668,3,2,4,NA,2,5,5,5,4,3
"328",1669,3,2,1,NA,1,5,98,4,5,5
"329",1670,3,2,4,NA,0,5,4,4,5,5
"330",1671,3,2,4,NA,1,5,5,4,2,3
"331",1672,3,2,4,NA,0,5,3,3,5,3
"332",1673,3,2,4,NA,1,5,5,5,5,5
"333",1674,3,2,4,NA,6,5,5,4,5,3
"334",1675,3,2,4,NA,2,5,1,2,5,4
"335",1676,3,2,4,NA,3,4,98,98,4,4
"336",1677,3,2,4,NA,1,5,2,1,4,4
"337",1678,3,2,2,NA,1,5,3,3,5,4
"338",1679,3,2,1,NA,NA,5,5,5,5,5
"339",1680,3,2,4,NA,0,4,1,1,4,5
"340",1681,3,2,4,NA,2,5,1,4,5,5
"341",1682,3,2,4,NA,1,5,4,4,5,5
"342",1683,3,2,4,NA,1,5,1,98,5,5
"343",1684,3,2,1,NA,1,5,1,3,4,5
"344",1685,3,2,4,NA,1,5,5,5,5,4
"345",1686,3,2,3,NA,1,5,5,5,5,5
"346",1687,3,2,4,NA,1,5,5,3,5,3
"347",1688,3,2,4,NA,0,4,3,3,3,5
"348",1689,3,2,1,NA,1,5,2,5,5,4
"349",1690,3,2,4,NA,1,5,4,2,4,3
"350",1691,3,2,1,NA,1,4,4,4,4,4
"351",1692,3,2,4,NA,1,5,98,1,5,5
"352",1693,3,2,1,NA,1,5,5,5,5,4
"353",1694,3,2,4,NA,3,5,4,4,4,4
"354",1695,3,2,1,NA,0,5,5,4,5,3
"355",1696,3,2,4,NA,2,5,3,3,5,4
"356",1697,3,2,4,NA,1,4,4,4,5,5
"357",1698,3,2,4,NA,2,5,4,5,5,5
"358",1699,3,2,2,NA,0,5,1,1,1,1
"359",1700,3,2,4,NA,1,5,5,3,4,3
"360",1701,3,2,4,NA,2,3,4,2,4,5
"361",1702,3,2,2,NA,1,5,5,4,2,3
"362",1703,3,2,4,NA,0,5,1,5,5,5
"363",1704,3,2,4,NA,0,5,99,99,99,5
"364",1705,3,2,2,NA,0,5,4,5,5,5
"365",1706,3,2,4,NA,1,4,5,2,2,2
"366",1707,3,2,2,NA,0,5,3,3,3,5
"367",1708,3,2,1,NA,2,5,5,4,5,5
"368",1709,3,2,3,NA,5,4,5,3,3,1
"369",1710,3,2,1,NA,1,4,4,3,4,4
"370",1711,3,2,2,NA,1,5,5,3,5,5
"371",1712,3,2,4,NA,1,5,5,4,5,4
